Name,Group,1-Amino-2-propanol,Ethanolamine,Propylene glycol,Phenol,.alpha.-Monomyristin,1-Monopalmitin,Glyceryl Monostearate,2-Monopalmitin,Phytol,Alanine,Hexadecane,Tetracosane,Sinigrin,Glycine,L-3-Cyanoalanine,Sarcosine,L-Pyroglutamic Acid,Glycolate,Lactate,Lactic acid,Asparagine,D-Asparagine,L-Asparagine,3-Hydroxyaspartic Acid,Aspartate,Benzyl alcohol,beta-Alanine,3-Hydroxypropanoate,Malate,Malic acid,(+)-Catechin,beta-D-Fructose,(-)-Quebrachitol,D-2-Aminobutyric acid,D-Xylonolactone,Dehydroabietic acid,Lactitol,Maltitol,Palatinit,1-Dodecanol,1-Octanol,4-Aminobutanoate,Dehydroascorbate,Glutamate,Glycerophosphoric acid,Harmaline,6-Deoxyglucitol,D-Galactosamine,D-Galactose,Galactose+Glucose,L-Rhamnose,L-Histidine,Hydroxylamine,2-Hydroxypentanoic acid,2-Isopropylmalic acid,Citramalate,Guanine,L-Isoleucine,2-Amino-3-hydroxybutanoic acid,DL-Homoserine,L-Homoserine,L-Threonine,Threonine,Linoleate,Linoleic acid,9-octadecenoic acid,Heptadecanoic acid,Hexadecanoic acid,Icosanoic acid,Decanoic acid,Nonanoic acid,Octanoic acid,D-Mannonate,Hexonic acid,L-Methionine,Methionine,2-Methylsuccinic acid,Butylamine,Methylamine,Diglycerol,"1,6-Anhydro-beta-D-glucose",Erythrulose,L-Sorbinose,Psicose+Tagatose,Sorbose,44178 Mz116 With Formonetin Contamination Ions,Pyridin-4-olate,Phosphoric Acid,alpha-D-Galactosyl-(1->3)-1D-myo-inositol,Maltose,Melibiose,Sucrose,Cytidylyl-(3'-5')-Cytidylyl-(3'-5')-Adenosine,D-Ribose,L-Xylose,Phenylalanine,L-Proline,Adenosine,"2,5-Dihydroxypyrazine",2-Hydroxypyridine,UDP-glucuronate,Uracil,2-Deoxyerythritol,5-Deoxyribitol,Pantothenic Acid,L-Serine,2-Hydroxyglutaric acid,Oxalacetic acid+Pyruvate,beta-Sitosterol,Stigmasterol,3-Phosphoglycerate,D-Glyceric Acid,D-Threonate,D-Threonic Acid,Glyceric acid,L-Threonate,D-Arabitol,Erythrite,L-Iditol,Pentitol,Ribitol,Isocitric acid+Citric acid,Squalene,Urea,Docosenoic acid,"2,6-ditert.butylphenol nist","3,6,9-trioxa-2,10-disilaundecane, 2,2,10,10-tetramethyl-",azelaic acid,"disiloxane, 1,3-bis(chloromethyl)-1,1,3,3-tetramethyl-",phthalate ester
g1-5L,GL,1046617.089,419616.4533,1495039.815,1032188.516,526821.443,25774012.98,3432027.595,1809346.752,216513.4923,46488386.22,3910857.923,2083056.601,24336.70582,389281.0445,459548.2525,98218069.82,1706443.319,1110129.971,19147641.06,1874770.151,33763883.49,1959509.276,992668.7741,2355628.164,5552222.535,426991.4762,670284.1863,707457.8007,80072753,771009.2001,229901.0797,8899288.767,812776.9128,220881.9512,1431393.635,38630.87755,265760.0828,1139242.649,212816.0484,481416.4506,2358649.418,2327534.841,223044.4052,479822.7595,940838.6153,106100791.8,1826668.017,1120529.505,2046539.964,104411687.5,9370064.883,23452265.58,1428840.646,18141.44798,378115.8162,1214878.17,6286.978208,3501491.155,1592180.832,376000.8287,282774.5563,36311.03039,999310.4923,9137399.872,26956.35509,408590.4092,880444.0758,174841736.3,1014822.854,81179.06611,526406.2732,666637.4959,126060886.7,21454275.64,1113289.606,3654854.765,319815.6056,131509.4151,146251491,4848555.517,3596915.711,53861.87624,4809091.721,267558043.8,306294279.8,2376813.939,1569909.326,10860291.63,197024.0015,421552.5005,213893.5632,237589.369,1155710.576,11644647.85,4858638.268,641990.5172,2864218.446,300336.2673,129940.3969,66208288.17,2091950.268,714409.3007,47286961.76,48858.8174,24905269.25,10467916.9,16978.20583,169919.9625,7489259.514,284984.4621,590487.8729,286978.4795,3771381.944,471991.9905,656596.2573,469497.7891,15097817.83,3418654.186,13480750.5,5906221.987,1784790.66,3258113.02,46679.99749,2189577.564,60329.37331,67724794.59,407127.1716,214904.4233,54390337.3,10024766.22
g2-3L,GL,456163.8941,398313.6106,1104686.2,781985.6333,521831.6635,27382826.09,4126540.643,2087781.664,75311.8431,16816493.38,6076531.191,1741006.616,18771.26654,407522.0227,126427.9773,88282646.5,936107.0888,1131443.289,24219451.8,1794671.078,7487754.253,1713504.726,232429.3951,431809.8299,1588298.677,221916.4461,127286.673,1094345.936,96322495.27,612040.2647,14968.65784,8994507.561,418076.5595,100713.4216,475870.5104,30757.65595,274474.5747,1299476.371,384025.4253,309284.31,803265.7845,672962.0038,211617.2968,177832.5142,224431.0019,136985727.8,2016719.282,1035236.295,2646376.181,111844234.4,12993015.12,23139650.28,419074.0076,16175.05671,322781.9471,1011376.181,5576.26465,1159548.204,1254243.856,498799.9055,60431.92817,45752.01323,501097.3535,8037816.635,30832.53308,1348543.478,809876.5595,152054442.3,811790.6427,78804.61248,411985.7278,649149.1493,112582136.1,22282948.96,1318947.07,572847.7316,123780.7183,118647.1645,148049811,3662852.552,8944178.639,51952.68431,5103685.255,288187523.6,263509073.7,2192762.76,1875670.132,7492363.894,201068.0529,89407.70321,251974.3856,94111.13422,1019690.926,10362637.05,3194834.594,264764.8393,1030162.571,235791.2098,112964.2722,69191266.54,2427457.467,690118.1474,43520434.78,60652.36295,4835547.259,3890616.257,23491.76749,132093.8563,7071086.011,322241.2098,101718.7146,88872.26843,4260234.405,398477.3157,677398.9603,216800.6616,10428525.52,3113530.246,14586039.7,5566964.083,2427425.331,7997437.618,72444.79206,2113983.932,48376.70132,51216379.96,287946.8809,256579.4896,56702060.49,7695575.614
g3-5L,GL,516337.7218,200630.0654,692783.1933,735131.3725,452994.1176,25660653.59,3766092.437,1211502.334,94214.56583,10093958.92,3048049.486,1707869.281,12439.18768,380611.9514,116928.0112,90211895.42,888419.9813,1102721.755,22739533.15,1705295.985,1136952.381,1133947.712,208546.1251,401782.0728,2286018.674,177911.3912,103962.2782,908004.2951,101462278.2,544866.1998,99345.00467,4818317.46,239978.5247,40747.34827,357444.9113,27510.22409,62133.20261,729038.6555,153718.4874,288391.1298,570122.6891,777977.8711,342877.3109,295617.7404,959548.0859,50263958.92,1578291.317,511743.0439,1049176.471,90872380.95,413055.8357,24783949.58,414916.7134,10661.0084,240254.3417,320508.6835,3956.036415,1332864.613,387753.8749,517594.3978,18447.81513,31630.12138,347052.1942,7928854.342,33389.79458,195361.8114,736768.254,144596358.5,713248.7395,68430.63492,334824.4631,618325.7703,99399906.63,8503134.454,1252582.633,268556.3025,104488.9823,106254.8086,156953221.3,2258736.695,943396.8254,22995.28478,2235150.327,296738468.7,265613445.4,2184809.524,1896288.515,6953750.7,34976.55462,1082076.564,101239.2157,51910.96172,646914.2857,5928786.181,1842653.595,346311.9514,861753.5014,135769.6545,115991.8768,71111932.77,1072952.381,570812.2316,33486479.93,23483.52941,85172371.62,1890124.183,18695.63025,103837.1615,9067106.443,325997.1989,587676.1905,376900.5602,2434775.91,334204.8553,458548.9262,229924.3697,5928786.181,1588133.52,539990.5696,3422162.465,1066552.754,1105830.065,59156.21849,1835004.669,45014.26704,57003146.59,285743.5107,195646.9655,56443230.63,7354380.952
g4-5L,GL,594763.2502,210375.8079,822713.6657,760991.0434,607182.9178,23673084.03,2830811.634,1775548.476,135990.4894,34015032.32,1620521.699,3332385.042,25319.19668,439784.3952,422783.6565,88855087.72,1167307.479,1129047.091,21190683.29,1625645.429,26299409.05,1590294.552,835169.3444,1715551.247,4251773.777,534492.5208,269112.1884,1067154.201,126505724.8,678166.5743,15214.3121,8903257.618,593158.7258,176339.6122,830425.4848,55141.58818,180173.1302,643559.8338,30091.52355,298812.2807,1385155.125,1515683.287,167160.2955,200364.5429,344117.8209,129711357.3,1542911.357,993200.3693,2734616.805,113540904.9,698839.5199,22820517.08,347176.916,12398.05171,230957.8947,847979.6861,7204.271468,2327651.893,658855.3093,383307.0175,122709.3259,37449.13204,780264.0813,9748005.54,37422.94552,218808.4026,768960.4801,149795106.2,1160589.104,60888.71653,344559.8338,601919.0212,111503970.5,14940821.79,1266653.74,2692653.74,1033084.026,106180.4247,159201385,2797505.078,1631302.862,32426.98061,3845955.679,294442012.9,266460572.5,1983914.127,1881660.203,10770350.88,44843.17636,59384.60757,78318.97507,254152.6316,767788.9197,11052779.32,4628319.483,451008.6796,2108207.756,237594.4598,132580.3324,72342613.11,1661575.254,732126.5005,39762557.71,36946.40813,5841944.598,6365191.136,6760.463527,121008.2179,8935225.3,268738.5042,221424.4691,433210.5263,2467951.985,463840.8126,417468.6057,235460.4801,11126749.77,2501345.337,15213942.75,4292825.485,1662343.49,1229516.159,25282.03139,1689158.818,52247.21145,55392169.9,268117.0822,195057.5254,60788402.59,8392754.386
g5-4L,GL,2402367.232,864667.3258,2722965.16,1048152.542,457215.4426,23235150.66,3563497.175,1999037.665,673993.6911,124530037.7,3632618.644,1771550.847,32001.50659,370560.2637,1425365.348,89533491.57,3595759.887,1269059.322,15517485.88,1565796.61,102113371,2104822.976,3470324.859,6776127.119,18242062.15,502140.113,1884451.977,683745.5744,2366623.352,1006253.296,17341.5725,10807843.69,1915407.721,743536.9115,4239584.746,32158.18267,369369.5857,2666500,509998.4934,776501.9774,5750872.881,8224694.915,360315.4426,500360.452,471873.7288,131209510.4,2839048.964,1260758.945,3058695.857,124938512.2,24000743.88,25440715.63,4475826.742,26424.83051,506042.7495,2498876.648,3344.568738,7750108.286,3236646.893,387769.3974,754400.8475,82267.43879,3001622.411,9163892.655,33040.19774,238913.0885,781411.3936,153280791,889367.9849,108081.1676,574917.2316,634372.4105,115696704.3,24747580.04,1594966.102,10983145.01,333091.9021,151047.646,149497928.4,6841565.913,2465451.977,73194.74576,5226221.281,280209792.8,259247928.4,3725201.507,1962508.475,27780969.87,361326.2712,128459.0395,515617.2316,423268.4557,1451709.04,21000903.95,6003035.782,1526558.38,10704058.38,415589.9247,126590.2072,70174312.62,2861734.463,805785.2166,49334133.71,112398.0226,5402062.147,31743757.06,22104.39736,260050.4708,7661530.132,285783.0508,498923.3522,395454.2373,4711360.64,621646.0452,730077.4953,646745.8569,21000903.95,4884264.595,13872165.73,8952839.925,2861734.463,1896306.968,51691.88324,2110081.921,62205.57439,61272109.23,937541.9962,262193.8795,57409519.77,9972259.887
g6-3L,GL,1051701.993,601091.3043,1679509.058,1140650.362,496102.1739,22010362.32,2589416.667,1523846.014,142496.558,50892336.96,2981417.572,1974250.906,50731.9837,328630.2536,212675,87111168.48,1713260.87,1166491.848,15756856.88,1553430.254,25966739.13,1713224.638,704646.558,1565028.08,7003590.58,346242.8442,473443.0254,593897.2826,152117753.6,869825.4529,1106666.667,12658532.61,1394973.732,243848.1884,2137891.304,32503.5779,273504.8007,1667736.413,61113.70471,518697.1014,3256067.935,2758978.261,299126.9022,1368024.457,2719479.167,124995652.2,2437680.254,1479291.667,2304192.935,113204076.1,1529021.739,20106413.04,354524.6377,16070.80616,469337.2283,1190960.145,16401.20471,4064508.152,1600240.942,298487.8623,250646.1051,29506.47645,1031645.833,3534604.167,17700.78804,110852.0833,693101.8116,143278351.4,734656.7029,90476.56703,531578.1703,369043.1159,106622373.2,25925335.14,1518791.667,974430.2536,218096.3768,123753.1703,139000362.3,6327033.514,3639175.725,67279.97283,6331514.493,286413768.1,244550000,2413672.101,1775024.457,11245579.71,285263.3152,937168.4783,147395.0181,242111.5036,1051280.797,15447527.17,4664637.681,654073.279,2955067.029,340123.8225,135100.6341,66835806.16,1492485.507,841574.3659,45437789.86,67722.55435,4272521.739,7899618.659,18843.98551,125595.2899,5406503.623,242915.0362,1593687.5,74707.47283,4841586.957,820743.2065,486935.1449,743913.9493,15518079.71,3346431.159,12785063.41,6722724.638,1492485.507,3727001.812,53903.87681,1848775.362,52734.47464,59922780.8,268451.3587,190495.7428,55019139.49,10049864.13
g1-5W,GW,578032.5751,190695.3594,2200001.82,1057914.468,604073.7034,26605350.32,3226124.659,2185563.239,73054.86806,27698070.97,1885398.544,3243719.745,81672.70246,348199.909,256046.9518,86880200.18,1346065.514,1688288.444,18741637.85,1590614.195,24650318.47,1564792.539,557864.1492,1690406.733,9015892.63,457773.0664,96923.20291,824192.7207,172214649.7,995818.9263,1006159.236,13705623.29,924574.1583,60161.77434,928329.3904,39129.85441,447779.8908,1286773.43,125855.96,374193.9945,2432613.285,949581.4377,443401.3649,653987.1702,3507176.524,125478525.9,2042691.538,1441079.163,1228728.844,119071294.2,11290200.18,21894458.6,329651.4104,26628.9263,405495.2684,1031848.954,29866.83348,2351451.319,629224.3858,548502.0928,39202.64786,31630.75523,880655.323,3768080.073,13904.01274,110777.0701,721580.8917,145890991.8,1148698.817,72858.18016,507819.7452,318242.3112,107449954.5,23948826.21,1573173.794,724227.0246,265955.596,106317.7434,146068516.8,6580723.385,4505885.35,45633.01183,6510190.173,290490900.8,245639581.4,2959707.916,1821067.334,12934840.76,187036.6697,184407.0064,149785.9873,718265.0591,1272969.973,19388080.07,138110009.1,646002.7298,1092224.75,489506.7334,143343.949,68874931.76,2876063.694,656638.2166,44032083.71,104363.1483,83399972.7,4188308.462,23407.8162,218062.7843,4715477.707,263091.5378,2493957.234,476713.5578,7714370.337,1149820.746,489829.2994,1224361.237,19388080.07,4906973.612,18152884.44,7215484.986,2885000.91,5260213.831,29328.73521,1688373.976,62477.7889,68181665.15,267849.3176,190845.2229,61036751.59,9581646.952
g2-3W,GW,399847.3198,336570.3327,2216064.695,1175064.695,471016.1738,24299667.28,3208390.018,1780829.945,103240.1109,20293003.7,5009675.601,1840029.575,39639.13124,299812.7542,14699.28835,88300434.38,1449246.765,1369802.218,13532051.76,1358322.551,15732107.21,1434726.433,401706.0074,1077751.386,3952229.205,906852.0333,76089.37153,590093.4381,153031423.3,798107.3013,476715.9889,10812560.07,869797.2274,50647.46765,1340575.786,22527.56007,352878.281,1582785.582,559612.1996,690087.2458,2298257.856,632354.0665,367450.4621,282239.3715,272860.9982,130366543.4,2508792.052,1381378.928,1490520.333,110163586,16159029.57,24232338.26,289456.0998,66321.87616,415020.1479,1083573.937,7872.360444,2177948.244,884925.4159,418602.8651,28648.97412,36059.32532,732702.3105,3792468.577,20054.87985,132210.9982,688070.7948,146251386.3,666338.4473,89746.26617,522284.2884,325447.9667,117381700.6,25891534.2,1435934.381,521809.0573,400028.9279,117764.8799,125074491.7,4237540.665,4556008.318,38604.86137,5776093.346,286352772.6,257457301.3,2806401.109,1524516.636,9986340.111,255806.2847,22486.17375,353782.0702,297411.4603,1489256.007,18724001.85,4445631.238,484458.5952,1489719.039,469921.9963,109984.9353,56359963.03,4826339.187,623533.9187,42974177.45,15708.42884,5212990.758,3427073.937,23848.06839,155451.756,5057269.871,238783.6414,277842.5139,422363.4011,12776016.64,770876.2477,566947.9667,1666797.597,18724001.85,4629921.442,13345693.16,6989352.126,4851286.506,5886854.898,44937.53235,1682490.758,46790.46211,57978401.11,265541.0351,184223.1054,56006016.64,9627670.98
g3-5W,GW,688228.924,151252.5173,1406915.104,695968.7068,675161.2043,24618687.07,3051709.773,1774840.079,109804.6397,12726308,1761527.147,3505286.278,47050.40474,368821.0267,112872.7542,95632645.61,926406.4166,2181683.119,19454086.87,1791138.203,1095298.124,3552408.687,148333.6624,362701.5795,1798153.998,626473.2478,53754.23495,1079815.4,136993780.8,606798.0257,74427.67029,9691443.238,320396.5449,39582.49753,547387.5617,46388.3613,230763.2774,693984.9951,160407.7986,348337.6111,679783.7117,583401.7769,217474.7285,271294.2744,316763.5735,139463968.4,1849064.166,1115014.808,1701348.47,107178677.2,613232.7739,25146554.79,370234.3534,8994.117473,202996.15,491308.4896,2921.127345,884869.1017,524459.1313,451960.3159,16077.84798,37015.79467,461437.4136,8174403.751,33005.38993,228300.7897,846569.003,159404935.8,1043087.858,91350.81935,417389.9309,477872.2606,128378677.2,12198756.17,1340865.745,933280.1579,226790.8193,108486.0809,163424481.7,2766448.174,2126214.215,37365.49852,4358860.809,316258539,288384205.3,3275688.055,2044757.157,9950582.428,106091.6091,647363.2774,97778.11451,254473.4452,853953.7019,8738285.291,2502731.491,257232.5765,835034.4521,274329.3189,122170.385,76692063.18,2244071.076,684647.384,42571184.6,68170.56269,3539723.593,2393140.178,25196.25864,272991.8065,8118952.616,327366.9299,239356.7621,656756.4659,5538499.506,391186.9694,649117.078,699549.0622,8765146.101,2820955.577,16529723.59,4429609.082,2239123.396,1985404.738,32086.40671,1931902.27,56173.72162,60829141.16,298848.5686,166040.5726,63804037.51,8068359.329
g4-5W,GW,295475.164,128397.1884,791404.686,663695.314,550542.1743,21341340.21,2264218.369,1531444.236,37574.6298,13623786.32,7044837.863,3058377.694,30089.14714,316393.627,105879.5689,90841452.67,988009.3721,361031.3964,14594667.29,1354971.884,6528288.66,938505.1546,278401.0309,684924.4611,1680791.94,408003.4677,44135.64199,797337.3946,143750328,482433.3646,159900.656,6068759.138,352669.9157,42148.80975,290362.8866,38003.50515,156988.7535,344201.3121,78025.66073,462207.7788,693352.671,387782.0056,131809.5595,133735.895,144883.224,128521930.6,6963151.828,734257.0759,767752.9522,102348266.2,369436.7385,24540234.3,359563.2615,11978.48172,213482.8491,459456.7948,12956.99157,809505.9044,314273.0084,335730.8341,17034.36739,30258.91284,386001.1246,2857345.829,20583.93627,125453.8894,675237.6757,148058950.3,875318.9316,60070.65604,314017.9944,268429.8032,120233177.1,9642127.46,1070516.401,523110.4967,181820.806,91236.20431,150317713.2,1567275.539,1258646.673,11933.76757,3010614.808,303317806.9,273118931.6,1616518.276,1814926.898,12175089.03,46178.23805,8964.164948,55281.89316,235368.9784,583468.9784,7066521.087,1737442.362,257311.9025,943295.2202,222545.7357,91220.62793,70809606.37,1583625.117,515185.3796,33705398.31,31788.97844,3933431.115,1647331.771,11755.79194,171301.3121,6667119.963,218523.149,188183.9738,64029.97188,2226691.659,518630.6467,740613.7769,343704.8735,7066521.087,2001016.87,17270440.49,2802182.755,1583625.117,767359.2315,21315.02343,1440869.728,44783.01781,52759287.72,243785.1921,143645.2671,61616551.08,7535425.492
g5-4W,GW,491403.268,233591.0675,2091586.057,1330844.227,615310.5664,26031525.05,2769413.943,1777264.706,76520.41394,27724161.22,11517124.18,2608818.083,50698.08279,368690.9586,257656.3181,107260468.4,2049575.163,1877464.052,21599400.87,1710340.959,24214466.23,24206383.44,791400.4357,1575412.854,5632178.649,624787.037,89396.37255,822225.2723,187829085,912905.7734,88288.64924,13548703.7,783321.8954,64288.98693,765085.0763,33807.83224,298162.0915,1125406.318,289855.5556,807222.1133,2672779.956,1009823.856,341323.8562,328618.7364,252776.3617,96968431.37,3348498.911,1621782.135,1327620.915,4099054.466,815503.268,27376699.35,425928.1046,29255.62092,405151.8519,909525.1634,8560.279956,2334749.455,595917.6471,474077.9956,31590.65359,33508.31155,1046436.166,3565563.181,19243.19172,144073.4205,815088.5621,173246187.4,874213.3987,99595.44662,599674.0741,318355.2288,142520697.2,22090196.08,1548652.505,1734016.34,286614.7059,128370.0436,168504030.5,3405447.712,4226762.527,45322.29847,6513189.542,345667647.1,311480392.2,2839090.414,2084535.948,11774662.31,109335.6209,20114.38998,187858.9325,249194.7712,1214525.054,16121928.1,4828786.492,616951.4161,2283849.673,470792.4837,121736.0566,78833322.44,3871161.22,661087.4728,46698856.21,68160.77342,2332295.207,5024090.414,17182.8976,338565.1416,5652947.712,278561.8736,245443.0283,303735.4031,5671090.414,900369.281,803348.2571,776404.6841,16121928.1,3448742.919,16811971.68,5596459.695,3871161.22,3874635.076,43139.90196,1960947.712,53297.95207,75950588.24,314223.4205,150226.1438,68741263.62,13187516.34
